"Story","Title","Result","Date","Stability","Duration (s)"
"Lookup a definition","Looking up the definition of 'apple'","SUCCESS","2018-04-16T10:39:58.338Z","0.0","46.78"
"Lookup a definition","Looking up the definition of 'pear'","SUCCESS","2018-04-16T10:40:45.587Z","0.0","36.02"
